time (UTC),air_pressure_at_mean_sea_level (Pa),air_temperature (K),sea_surface_wave_period_at_variance_spectral_density_maximum (s),surface_downwelling_shortwave_flux_in_air (W m-2),relative_humidity (1),sea_surface_wave_significant_height (m),sea_surface_wave_from_direction (degree),wind_from_direction (degree),wind_speed (m s-1),sea_water_temperature_1 (K),sea_water_temperature_2 (K),sea_water_temperature_3 (K),sea_water_temperature_4 (K),sea_water_temperature_5 (K),sea_water_temperature_6 (K),sea_water_temperature_7 (K),sea_water_temperature_8 (K),sea_water_temperature_9 (K),sea_water_temperature_10 (K),sea_water_temperature_11 (K),sea_water_temperature_12 (K),mass_concentration_of_oxygen_in_sea_water (kg m-3),fractional_saturation_of_oxygen_in_sea_water (1),sea_water_specific_conductivity (Unknown),sea_water_temperature_13 (K),sea_water_temperature_14 (K),platform
2025-05-27T21:20:00Z,100420,287.65,1.82,191.1,75.3,0.124,52.6,53.7,2.6,285.025,284.339,282.879,281.968,281.674,281.321,281.247,281.217,281.095,281.073,281.091,281.008,0.01184,98.64,0.02768,280.61,280.565,1
2025-05-27T21:30:00Z,100420,287.55,1.82,160.2,76.4,0.124,52.6,58,2.8,285.067,284.433,282.796,281.956,281.721,281.239,281.243,281.237,281.138,281.095,281.091,280.946,0.01185,98.7,0.02768,280.598,280.554,1
2025-05-27T21:40:00Z,100410,287.55,1.7,135,76.2,0.116,34.9,65.1,3.2,284.898,284.332,282.796,281.952,281.702,281.222,281.233,281.234,281.175,281.145,281.1,280.996,0.01184,98.64,0.02768,280.616,280.563,1
2025-05-27T21:50:00Z,100400,287.45,1.7,121.4,76.6,0.116,34.9,66.2,3.1,284.786,284.168,282.602,281.958,281.688,281.228,281.229,281.224,281.182,281.13,281.105,281.001,0.01185,98.69,0.02768,280.626,280.558,1
2025-05-27T22:00:00Z,100390,287.45,1.6,104.8,76.5,0.115,41.5,71.3,2.8,284.921,284.256,282.541,281.989,281.688,281.229,281.221,281.214,281.175,281.167,281.107,281.031,0.01184,98.66,0.02768,280.64,280.567,1
2025-05-27T22:10:00Z,100370,287.55,1.6,113.9,76,0.115,41.5,67.6,3.2,284.999,284.119,282.617,281.991,281.699,281.203,281.217,281.211,281.164,281.158,281.085,280.67,0.01187,98.81,0.02768,280.587,280.533,1
2025-05-27T22:20:00Z,100350,287.55,1.69,127,74.8,0.101,56.3,69.1,3.4,285.042,284.54,282.739,282.074,281.732,281.246,281.211,281.197,281.154,281.183,281.114,280.92,0.01185,98.74,0.02768,280.632,280.572,1
2025-05-27T22:30:00Z,100360,287.75,1.69,116.9,73,0.101,56.3,76.1,3.1,284.931,284.463,282.566,282.005,281.706,281.227,281.205,281.194,281.147,281.173,281.125,280.801,0.01187,98.86,0.02768,280.611,280.56,1
2025-05-27T22:40:00Z,100350,287.75,3.5,116.2,73.8,0.116,33.4,79.9,3.2,284.889,284.394,282.417,281.964,281.648,281.222,281.198,281.179,281.13,281.164,281.078,280.791,0.01185,98.78,0.02768,280.625,280.586,1
2025-05-27T22:50:00Z,100330,287.85,3.5,106.1,73.4,0.116,33.4,91.8,3.1,284.811,284.413,282.732,281.975,281.622,281.235,281.195,281.164,281.12,281.142,281.088,280.804,0.01185,98.76,0.02768,280.634,280.594,1
